Study.Area,Region.Label,Area,Sample.Label,Effort,distance,size
Strat_Example,Ideal,85000,1,87,0.1,1
Strat_Example,Ideal,85000,1,87,0.22,1
Strat_Example,Ideal,85000,1,87,0.16,2
Strat_Example,Ideal,85000,1,87,0.78,4
Strat_Example,Ideal,85000,1,87,0.21,2
Strat_Example,Ideal,85000,1,87,0.95,6
Strat_Example,Ideal,85000,2,11,0,1
Strat_Example,Ideal,85000,2,11,0,3
Strat_Example,Ideal,85000,2,11,0.1,2
Strat_Example,Ideal,85000,2,11,0.06,5
Strat_Example,Ideal,85000,2,11,0.93,1
Strat_Example,Ideal,85000,2,11,0.38,2
Strat_Example,Ideal,85000,3,16,0.39,3
Strat_Example,Ideal,85000,3,16,0.61,2
Strat_Example,Ideal,85000,3,16,0.02,2
Strat_Example,Ideal,85000,4,110,0.34,1
Strat_Example,Ideal,85000,4,110,0.52,1
Strat_Example,Ideal,85000,4,110,0.36,2
Strat_Example,Ideal,85000,4,110,1.22,1
Strat_Example,Ideal,85000,4,110,0.68,2
Strat_Example,Ideal,85000,4,110,0.03,1
Strat_Example,Ideal,85000,4,110,0.26,1
Strat_Example,Ideal,85000,4,110,1.21,2
Strat_Example,Ideal,85000,4,110,0.52,2
Strat_Example,Ideal,85000,5,15,,
Strat_Example,Ideal,85000,6,10,,
Strat_Example,Ideal,85000,7,16,0.18,2
Strat_Example,Ideal,85000,7,16,0.36,2
Strat_Example,Ideal,85000,7,16,0.61,11
Strat_Example,Ideal,85000,7,16,0.61,1
Strat_Example,Ideal,85000,8,59,0.6,1
Strat_Example,Ideal,85000,8,59,0.1,2
Strat_Example,Ideal,85000,9,10,,
Strat_Example,Ideal,85000,10,13,,
Strat_Example,Ideal,85000,11,56,,
Strat_Example,Ideal,85000,12,1,,
Strat_Example,Ideal,85000,13,80,0.1,1
Strat_Example,Ideal,85000,13,80,0.68,1
Strat_Example,Ideal,85000,13,80,0.31,2
Strat_Example,Ideal,85000,13,80,0.58,2
Strat_Example,Ideal,85000,13,80,0.49,1
Strat_Example,Ideal,85000,13,80,0.46,2
Strat_Example,Ideal,85000,13,80,0.36,2
Strat_Example,Ideal,85000,13,80,0.09,2
Strat_Example,Ideal,85000,13,80,0.03,2
Strat_Example,Marginal,600000,14,75,0.49,1
Strat_Example,Marginal,600000,14,75,1.94,8
Strat_Example,Marginal,600000,14,75,1.1,10
Strat_Example,Marginal,600000,14,75,0.85,5
Strat_Example,Marginal,600000,14,75,0.63,7
Strat_Example,Marginal,600000,14,75,0.39,3
Strat_Example,Marginal,600000,14,75,0.65,1
Strat_Example,Marginal,600000,14,75,1.16,2
Strat_Example,Marginal,600000,14,75,0.91,2
Strat_Example,Marginal,600000,14,75,0,2
Strat_Example,Marginal,600000,14,75,1.18,10
Strat_Example,Marginal,600000,15,100,0.1,1
Strat_Example,Marginal,600000,15,100,0.37,1
Strat_Example,Marginal,600000,15,100,0.59,2
Strat_Example,Marginal,600000,15,100,0.45,2
Strat_Example,Marginal,600000,15,100,0.53,1
Strat_Example,Marginal,600000,16,110,0.21,2
Strat_Example,Marginal,600000,17,100,,
Strat_Example,Marginal,600000,18,125,0.85,2
Strat_Example,Marginal,600000,18,125,1.48,2
Strat_Example,Marginal,600000,18,125,1.44,2
Strat_Example,Marginal,600000,18,125,0.9,1
Strat_Example,Marginal,600000,18,125,0.01,1
Strat_Example,Marginal,600000,18,125,1.58,1
Strat_Example,Marginal,600000,18,125,0.68,1
Strat_Example,Marginal,600000,18,125,0.8,1
Strat_Example,Marginal,600000,18,125,0.64,1
Strat_Example,Marginal,600000,18,125,1.45,2
Strat_Example,Marginal,600000,18,125,0.31,3
Strat_Example,Marginal,600000,18,125,0.31,1
Strat_Example,Marginal,600000,18,125,0.85,1
Strat_Example,Marginal,600000,18,125,0.49,2
Strat_Example,Marginal,600000,18,125,0.67,3
Strat_Example,Marginal,600000,18,125,0.27,2
Strat_Example,Marginal,600000,18,125,0.56,1
Strat_Example,Marginal,600000,18,125,0.23,2
Strat_Example,Marginal,600000,19,100,0.39,1
Strat_Example,Marginal,600000,20,150,1.17,10
Strat_Example,Marginal,600000,20,150,0.97,1
Strat_Example,Marginal,600000,21,110,0.29,7
Strat_Example,Marginal,600000,21,110,0.59,2
Strat_Example,Marginal,600000,21,110,1.01,1
Strat_Example,Marginal,600000,21,110,0.87,1
Strat_Example,Marginal,600000,21,110,0.13,1
Strat_Example,Marginal,600000,21,110,0.78,1
Strat_Example,Marginal,600000,22,115,0.97,3
Strat_Example,Marginal,600000,22,115,0.48,1
Strat_Example,Marginal,600000,23,150,,
Strat_Example,Marginal,600000,24,125,0.41,1
Strat_Example,Marginal,600000,24,125,0.15,1
Strat_Example,Marginal,600000,24,125,0.09,1
Strat_Example,Marginal,600000,24,125,0.1,1
Strat_Example,Marginal,600000,24,125,0.1,1
Strat_Example,Marginal,600000,25,110,,
